Date,CHF/JPY Close,CHF/JPY High,CHF/JPY Low;;
1999-01-01,82.7,82.7,82.7;;
1999-01-04,81.93,82.61,81.63;;
1999-01-05,81.09,81.66,81.13;;
1999-01-06,81,81.81,80.89;;
1999-01-07,80.52,80.68,80.02;;
1999-01-08,79.69,80.64,79.56;;
1999-01-11,77.47,78.57,77.4;;
1999-01-12,81,81.14,80.19;;
1999-01-13,82.79,84.31,82.7;;
1999-01-14,83.56,84.03,82.88;;
1999-01-15,82.65,83.6,82.08;;
1999-01-18,82.95,83.2,82.15;;
1999-01-19,82.55,82.91,82.35;;
1999-01-20,81.19,82.07,80.96;;
1999-01-21,82.11,82.72,81.4;;
1999-01-22,82.83,83.06,82.41;;
1999-01-25,82.16,82.84,81.82;;
1999-01-26,82.02,82.46,81.93;;
1999-01-27,82.03,82.74,81.8;;
1999-01-28,82.53,82.63,81.87;;
1999-01-29,82.32,82.37,81.6;;
1999-02-01,81.04,81.46,80.72;;
1999-02-02,79.31,80.1,79.21;;
1999-02-03,79.74,79.88,79.36;;
1999-02-04,79.44,79.83,78.81;;
1999-02-05,79.66,80.16,79.53;;
1999-02-08,80.93,81.2,79.77;;
1999-02-09,80.5,81.33,80.32;;
1999-02-10,81.31,82.16,81.06;;
1999-02-11,80.3,81.16,80.27;;
1999-02-12,80.86,80.88,80.15;;
1999-02-15,81.2,81.5,80.4;;
1999-02-16,83.33,83.4,82.41;;
1999-02-17,83.72,83.79,83.34;;
1999-02-18,83.94,84.38,83.81;;
1999-02-19,83.71,83.93,83.4;;
1999-02-22,83.46,83.63,82.92;;
1999-02-23,83.5,83.82,83.25;;
1999-02-24,84.07,84.11,83.71;;
1999-02-25,83.17,83.66,82.98;;
1999-02-26,82.29,82.86,81.8;;
1999-03-01,81.85,82.35,81.77;;
1999-03-02,82.56,82.91,82.47;;
1999-03-03,83.38,83.53,82.97;;
1999-03-04,83.96,84.56,83.71;;
1999-03-05,83.43,83.88,83.24;;
1999-03-08,83.18,83.49,83.13;;
1999-03-09,82.48,83.18,82.48;;
1999-03-10,82.17,82.36,82.04;;
1999-03-11,82.06,82.44,81.31;;
1999-03-12,81.02,81.8,81;;
1999-03-15,80.33,80.79,80.16;;
1999-03-16,80.99,81.09,80.26;;
1999-03-17,81.31,81.72,81.26;;
1999-03-18,80.54,81.59,80.5;;
1999-03-19,79.88,80.25,79.82;;
1999-03-22,80.75,80.86,80.21;;
1999-03-23,80.86,81.01,80.58;;
1999-03-24,80.6,80.83,80.45;;
1999-03-25,80.26,80.74,80.15;;
1999-03-26,81.27,81.35,80.48;;
1999-03-29,80.95,80.98,80.38;;
1999-03-30,80.72,81.18,80.57;;
1999-03-31,80.24,80.31,79.86;;
1999-04-01,81.41,81.44,80.56;;
1999-04-02,81.32,81.6,81.2;;
1999-04-05,81.8,81.95,81.4;;
1999-04-06,81.95,82.16,81.2;;
1999-04-07,81.87,82.29,81.77;;
1999-04-08,81.71,82.46,81.58;;
1999-04-09,81.57,82,81.39;;
1999-04-12,80.96,81.43,80.9;;
1999-04-13,80.35,80.97,80.33;;
1999-04-14,79.89,80.11,79.79;;
1999-04-15,79.3,79.98,79.2;;
1999-04-16,78.51,79.51,78.23;;
1999-04-19,78.03,78.34,77.97;;
1999-04-20,78.87,78.91,78.05;;
1999-04-21,79.41,79.62,78.92;;
1999-04-22,79.21,79.45,79.1;;
1999-04-23,79,79.45,78.91;;
1999-04-26,78.78,78.97,78.58;;
1999-04-27,79.81,79.96,79.33;;
1999-04-28,78.8,78.99,78.59;;
1999-04-29,78.23,78.62,78.2;;
1999-04-30,78.43,78.75,78.16;;
1999-05-03,78.96,78.98,78.64;;
1999-05-04,79.96,80.03,79.54;;
1999-05-05,80.71,81.06,80.16;;
1999-05-06,81.01,81.37,80.91;;
1999-05-07,80.74,81.12,80.7;;
1999-05-10,80.86,81.13,80.71;;
1999-05-11,80.57,80.86,80.48;;
1999-05-12,80.29,80.78,80.21;;
1999-05-13,81.08,81.12,80.58;;
1999-05-14,81.52,81.75,81.22;;
1999-05-17,82.12,82.21,81.9;;
1999-05-18,82.2,82.24,81.92;;
1999-05-19,82.68,83.03,82.56;;
1999-05-20,82.41,82.61,82.19;;
1999-05-21,81.74,81.98,81.47;;
1999-05-24,81.46,81.8,81.27;;
1999-05-25,81.62,81.87,81.43;;
1999-05-26,80.21,80.74,79.96;;
1999-05-27,78.99,80.44,78.93;;
1999-05-28,79.37,79.44,78.94;;
1999-05-31,79.61,80.05,79.4;;
1999-06-01,79.11,79.42,79.01;;
1999-06-02,78.93,79.02,78.56;;
1999-06-03,78.99,79.41,78.83;;
1999-06-04,79.79,79.94,78.9;;
1999-06-07,78.24,78.7,78.21;;
1999-06-08,78.06,79.31,77.93;;
1999-06-09,78.08,78.55,77.94;;
1999-06-10,78.07,78.26,77.77;;
1999-06-11,77.98,78.08,77.49;;
1999-06-14,78.81,78.93,78.58;;
1999-06-15,78.63,78.88,78.37;;
1999-06-16,77.76,78.11,77.42;;
