Date,USD/CHF Close,USD/CHF High,USD/CHF Low;;;;;
1999-01-01,1.3741,1.3741,1.3741;;;;;
1999-01-04,1.3671,1.3737,1.3575;;;;;
1999-01-05,1.371,1.3732,1.3645;;;;;
1999-01-06,1.3952,1.4006,1.3705;;;;;
1999-01-07,1.3779,1.3925,1.3741;;;;;
1999-01-08,1.3917,1.4001,1.3765;;;;;
1999-01-11,1.402,1.4031,1.39;;;;;
1999-01-12,1.3886,1.405,1.3854;;;;;
1999-01-13,1.3668,1.388,1.3377;;;;;
1999-01-14,1.3574,1.3707,1.3536;;;;;
1999-01-15,1.3793,1.3817,1.3495;;;;;
1999-01-18,1.379,1.3865,1.377;;;;;
1999-01-19,1.375,1.385,1.3725;;;;;
1999-01-20,1.3901,1.3937,1.377;;;;;
1999-01-21,1.384,1.391,1.379;;;;;
1999-01-22,1.3843,1.3855,1.376;;;;;
1999-01-25,1.3867,1.3892,1.3745;;;;;
1999-01-26,1.3893,1.39,1.381;;;;;
1999-01-27,1.4106,1.4132,1.3875;;;;;
1999-01-28,1.4103,1.4186,1.405;;;;;
1999-01-29,1.4141,1.4208,1.4095;;;;;
1999-02-01,1.4199,1.4253,1.41;;;;;
1999-02-02,1.4129,1.422,1.4068;;;;;
1999-02-03,1.4149,1.4179,1.4065;;;;;
1999-02-04,1.4143,1.425,1.412;;;;;
1999-02-05,1.4214,1.424,1.408;;;;;
1999-02-08,1.415,1.4275,1.4133;;;;;
1999-02-09,1.4208,1.4226,1.4115;;;;;
1999-02-10,1.4059,1.4195,1.4022;;;;;
1999-02-11,1.4269,1.4277,1.4085;;;;;
1999-02-12,1.416,1.426,1.413;;;;;
1999-02-15,1.422,1.423,1.414;;;;;
1999-02-16,1.4254,1.4329,1.4225;;;;;
1999-02-17,1.4226,1.427,1.418;;;;;
1999-02-18,1.4274,1.4311,1.4165;;;;;
1999-02-19,1.4465,1.4496,1.428;;;;;
1999-02-22,1.4483,1.4585,1.4464;;;;;
1999-02-23,1.448,1.4574,1.444;;;;;
1999-02-24,1.4484,1.4562,1.4433;;;;;
1999-02-25,1.4385,1.4485,1.4323;;;;;
1999-02-26,1.4468,1.4528,1.4395;;;;;
1999-03-01,1.4629,1.464,1.446;;;;;
1999-03-02,1.4577,1.4655,1.4562;;;;;
1999-03-03,1.4603,1.4626,1.4541;;;;;
1999-03-04,1.4687,1.4734,1.46;;;;;
1999-03-05,1.47,1.4749,1.4652;;;;;
1999-03-08,1.4626,1.4745,1.457;;;;;
1999-03-09,1.4659,1.471,1.459;;;;;
1999-03-10,1.4593,1.469,1.4549;;;;;
1999-03-11,1.454,1.4773,1.4423;;;;;
1999-03-12,1.4665,1.4671,1.4515;;;;;
1999-03-15,1.4652,1.467,1.4608;;;;;
1999-03-16,1.4534,1.4745,1.4517;;;;;
1999-03-17,1.4513,1.461,1.4449;;;;;
1999-03-18,1.4581,1.4591,1.4445;;;;;
1999-03-19,1.4676,1.4591,1.454;;;;;
1999-03-22,1.4623,1.4715,1.4617;;;;;
1999-03-23,1.4593,1.4675,1.4566;;;;;
1999-03-24,1.4635,1.4671,1.4516;;;;;
1999-03-25,1.4713,1.4737,1.4615;;;;;
1999-03-26,1.4796,1.487,1.4685;;;;;
1999-03-29,1.4838,1.4925,1.478;;;;;
1999-03-30,1.4905,1.492,1.4825;;;;;
1999-03-31,1.4828,1.4925,1.475;;;;;
1999-04-01,1.4799,1.487,1.4751;;;;;
1999-04-02,1.481,1.4835,1.478;;;;;
1999-04-05,1.4893,1.4926,1.48;;;;;
1999-04-06,1.473,1.49,1.4694;;;;;
1999-04-07,1.4819,1.4845,1.4715;;;;;
1999-04-08,1.4856,1.4882,1.465;;;;;
1999-04-09,1.4823,1.4865,1.4775;;;;;
1999-04-12,1.4844,1.485,1.4727;;;;;
1999-04-13,1.4909,1.4936,1.4825;;;;;
1999-04-14,1.4849,1.49,1.483;;;;;
1999-04-15,1.4979,1.5002,1.481;;;;;
1999-04-16,1.4956,1.5065,1.496;;;;;
1999-04-19,1.5067,1.5116,1.4955;;;;;
1999-04-20,1.5069,1.5103,1.498;;;;;
1999-04-21,1.5077,1.5135,1.5043;;;;;
1999-04-22,1.5088,1.516,1.5025;;;;;
1999-04-23,1.5111,1.5133,1.499;;;;;
1999-04-26,1.514,1.5158,1.507;;;;;
1999-04-27,1.5082,1.514,1.5055;;;;;
1999-04-28,1.5132,1.5157,1.503;;;;;
1999-04-29,1.5212,1.5217,1.511;;;;;
1999-04-30,1.5224,1.5275,1.515;;;;;
1999-05-03,1.5234,1.5271,1.519;;;;;
1999-05-04,1.5112,1.5245,1.5103;;;;;
1999-05-05,1.4943,1.5115,1.4898;;;;;
1999-05-06,1.4868,1.495,1.484;;;;;
1999-05-07,1.4966,1.4972,1.485;;;;;
1999-05-10,1.4904,1.5005,1.4849;;;;;
1999-05-11,1.501,1.5033,1.4885;;;;;
1999-05-12,1.506,1.509,1.4941;;;;;
1999-05-13,1.5025,1.5106,1.5015;;;;;
1999-05-14,1.5058,1.5089,1.4906;;;;;
1999-05-17,1.5031,1.508,1.4986;;;;;
1999-05-18,1.4995,1.5039,1.4965;;;;;
1999-05-19,1.5039,1.508,1.4985;;;;;
1999-05-20,1.5085,1.5103,1.5;;;;;
1999-05-21,1.5169,1.5215,1.5095;;;;;
1999-05-24,1.5124,1.5195,1.5094;;;;;
1999-05-25,1.5046,1.512,1.497;;;;;
1999-05-26,1.5219,1.525,1.4995;;;;;
1999-05-27,1.5241,1.531,1.5179;;;;;
1999-05-28,1.5302,1.5306,1.517;;;;;
1999-05-31,1.5275,1.529,1.52;;;;;
1999-06-01,1.524,1.5285,1.5192;;;;;
1999-06-02,1.5372,1.54,1.5225;;;;;
1999-06-03,1.5401,1.5425,1.5295;;;;;
1999-06-04,1.532,1.544,1.5301;;;;;
1999-06-07,1.5435,1.5443,1.533;;;;;
1999-06-08,1.5231,1.5445,1.5215;;;;;
1999-06-09,1.5228,1.5266,1.5185;;;;;
1999-06-10,1.5224,1.5265,1.5135;;;;;
1999-06-11,1.5142,1.5248,1.5115;;;;;
1999-06-14,1.5302,1.532,1.5185;;;;;
1999-06-15,1.5311,1.5355,1.528;;;;;
1999-06-16,1.5468,1.5506,1.53;;;;;
1999-06-17,1.5427,1.553,1.542;;;;;
1999-06-18,1.538,1.5495,1.5324;;;;;
1999-06-21,1.5426,1.5487,1.535;;;;;
1999-06-22,1.5462,1.5495,1.5405;;;;;
1999-06-23,1.5468,1.5548,1.542;;;;;
1999-06-24,1.5358,1.5503,1.5337;;;;;
1999-06-25,1.5326,1.5351,1.525;;;;;
1999-06-28,1.5435,1.5462,1.5305;;;;;
1999-06-29,1.5506,1.552,1.5435;;;;;
1999-06-30,1.5497,1.5582,1.5468;;;;;
1999-07-01,1.569,1.5748,1.5435;;;;;
1999-07-02,1.5677,1.5725,1.565;;;;;
1999-07-05,1.57,1.572,1.567;;;;;
1999-07-06,1.5664,1.5745,1.562;;;;;
1999-07-07,1.5687,1.5723,1.5615;;;;;
1999-07-08,1.5718,1.5794,1.5687;;;;;
1999-07-09,1.5793,1.5806,1.5675;;;;;
1999-07-12,1.5807,1.5893,1.5743;;;;;
1999-07-13,1.5775,1.5865,1.5709;;;;;
1999-07-14,1.5728,1.584,1.5696;;;;;
1999-07-15,1.5742,1.5765,1.5657;;;;;
1999-07-16,1.5759,1.5769,1.5703;;;;;
1999-07-19,1.5579,1.5865,1.5472;;;;;
1999-07-20,1.5417,1.5555,1.5354;;;;;
1999-07-21,1.5262,1.5435,1.5218;;;;;
1999-07-22,1.5265,1.5335,1.5185;;;;;
1999-07-23,1.5272,1.5351,1.521;;;;;
1999-07-26,1.5047,1.5265,1.4972;;;;;
1999-07-27,1.506,1.5095,1.499;;;;;
1999-07-28,1.4995,1.5092,1.495;;;;;
1999-07-29,1.488,1.501,1.4858;;;;;
1999-07-30,1.4899,1.4967,1.485;;;;;
1999-08-02,1.495,1.5025,1.491;;;;;
1999-08-03,1.4972,1.5048,1.4932;;;;;
1999-08-04,1.4951,1.498,1.482;;;;;
1999-08-05,1.4874,1.489,1.4763;;;;;
1999-08-06,1.4878,1.4935,1.4825;;;;;
